时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告
0.26,1.73,16.96,100.0,0.0,15.0,0.0,25.0,3
0.26,1.74,17.30,100.0,0.0,15.0,0.0,25.0,3
0.27,1.75,17.64,100.0,0.0,15.0,0.0,25.0,3
0.27,1.76,17.99,100.0,0.0,15.0,0.0,25.0,3
0.28,1.77,18.33,100.0,0.0,15.0,0.0,25.0,3
0.28,1.97,18.67,100.0,0.0,15.1,0.0,25.0,3
0.29,1.96,19.02,100.0,0.0,15.1,0.0,25.0,3
0.29,1.96,19.36,100.0,0.0,15.1,0.0,25.0,3
0.30,2.26,19.70,100.0,0.0,11.6,0.0,25.0,3
0.30,2.55,20.05,100.0,0.0,11.9,0.0,25.0,3
0.31,2.39,20.39,100.0,0.0,13.8,0.0,25.0,3
0.31,2.10,20.73,100.0,0.0,13.5,0.0,25.0,4
0.32,1.87,18.45,100.0,6.9,-4.0,-5.4,25.0,4
0.32,1.66,18.68,100.0,1.3,-3.6,-4.9,25.0,4
0.33,1.48,18.90,100.0,-5.0,-0.6,-4.4,25.0,4
0.33,1.32,19.09,100.0,-10.2,3.7,-4.2,25.0,4
0.34,1.17,19.25,100.0,-12.5,3.1,-4.7,25.0,4
0.34,0.98,19.39,100.0,-12.4,13.3,-5.5,25.0,4
0.35,0.78,19.52,100.0,-8.8,20.2,-5.8,25.0,4
0.35,0.58,19.66,100.0,-2.5,23.5,-5.3,25.0,4
0.36,0.37,19.81,100.0,4.6,23.0,-4.5,25.0,4
0.36,0.22,13.13,100.0,12.0,7.5,-4.9,25.0,4
0.37,0.29,10.34,100.0,11.4,2.3,-6.0,25.0,4
0.37,0.30,10.48,100.0,6.3,-2.0,-6.0,25.0,4
0.38,0.34,10.65,100.0,-1.0,-8.6,-5.2,25.0,4
0.38,0.36,10.83,100.0,-8.8,-8.3,-4.5,25.0,4
0.39,0.31,10.97,100.0,-14.2,-1.9,-4.8,25.0,4
0.39,0.31,11.05,100.0,-15.2,7.8,-6.0,25.0,4
0.40,0.30,11.04,100.0,-11.4,17.4,-6.6,25.0,4
0.40,0.28,10.97,100.0,-3.2,22.2,-5.9,25.0,4
0.41,0.25,10.92,100.0,6.4,21.4,-4.6,25.0,5
0.41,0.25,6.31,100.0,11.6,9.3,-5.1,25.0,5
0.42,0.32,3.80,100.0,6.2,-3.2,-8.5,25.0,5
0.42,0.35,3.74,100.0,0.0,-1.4,-8.2,25.0,5
0.43,0.37,3.79,100.0,-7.1,3.1,-7.9,25.0,5
0.43,0.37,3.84,100.0,-10.3,10.7,-8.5,25.0,5
0.44,0.38,3.77,100.0,-7.1,18.3,-9.0,25.0,5
0.44,0.38,3.58,100.0,1.1,20.3,-8.4,25.0,5
0.45,0.38,3.39,100.0,8.1,15.1,-8.2,25.0,5
0.45,0.37,3.29,100.0,9.0,1.0,-8.7,25.0,5
0.46,0.42,3.36,100.0,1.8,-6.1,-8.4,25.0,5
0.46,0.47,3.58,100.0,-8.6,-3.0,-7.5,25.0,5
0.47,0.47,3.76,100.0,-13.8,4.3,-8.3,25.0,5
0.47,0.52,3.72,100.0,-10.1,16.1,-9.3,25.0,5
0.48,0.54,3.51,100.0,1.7,20.3,-8.2,25.0,5
