时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告
0.01,-892.87,204467.29,100.0,113.6,-51.2,-179.4,25.0,2
0.01,0.42,0.24,100.0,0.0,5.2,0.0,25.0,2
0.01,0.46,0.58,100.0,0.0,4.5,0.0,25.0,2
0.02,0.45,0.93,100.0,0.0,3.9,0.0,25.0,2
0.03,0.43,1.27,100.0,0.0,4.7,0.0,25.0,2
0.03,0.40,1.61,100.0,0.0,6.4,0.0,25.0,2
0.04,0.38,1.96,100.0,0.0,3.5,0.0,25.0,2
0.04,0.35,2.30,100.0,0.0,1.9,0.0,25.0,2
0.04,0.33,2.64,100.0,0.0,1.2,0.0,25.0,2
0.05,0.31,2.99,100.0,0.0,4.6,0.0,25.0,2
0.05,0.31,3.33,100.0,0.0,5.3,0.0,25.0,2
0.06,0.30,3.67,100.0,0.0,4.9,0.0,25.0,2
0.06,0.30,4.02,100.0,0.0,4.4,0.0,25.0,2
0.07,0.32,4.36,100.0,0.0,3.2,0.0,25.0,2
0.07,0.31,4.70,100.0,0.0,0.8,0.0,25.0,2
0.08,0.39,5.05,100.0,0.0,1.5,0.0,25.0,2
0.09,0.39,5.39,100.0,0.0,2.3,0.0,25.0,2
0.09,0.42,5.73,100.0,0.0,1.4,0.0,25.0,2
0.10,0.46,6.07,100.0,0.0,1.7,0.0,25.0,3
0.10,0.51,6.42,100.0,0.0,3.4,0.0,25.0,3
0.11,0.64,6.76,100.0,0.0,3.2,0.0,25.0,3
0.11,0.75,7.10,100.0,0.0,4.1,0.0,25.0,3
0.12,0.83,7.45,100.0,0.0,6.7,0.0,25.0,3
0.12,0.85,7.79,100.0,0.0,7.9,0.0,25.0,3
0.13,0.88,8.13,100.0,0.0,8.9,0.0,25.0,3
0.13,0.92,8.48,100.0,0.0,9.9,0.0,25.0,3
0.14,0.97,8.82,100.0,0.0,10.6,0.0,25.0,3
0.14,1.02,9.16,100.0,0.0,11.2,0.0,25.0,3
0.15,1.07,9.51,100.0,0.0,11.7,0.0,25.0,3
0.15,1.13,9.85,100.0,0.0,12.2,0.0,25.0,3
0.16,1.19,10.19,100.0,0.0,12.6,0.0,25.0,3
0.16,1.08,10.54,100.0,0.0,12.6,0.0,25.0,3
0.17,1.13,10.88,100.0,0.0,13.0,0.0,25.0,3
0.17,1.19,11.22,100.0,0.0,13.3,0.0,25.0,3
0.18,1.25,11.57,100.0,0.0,13.6,0.0,25.0,3
0.18,1.30,11.91,100.0,0.0,13.8,0.0,25.0,3
0.19,1.36,12.25,100.0,0.0,14.0,0.0,25.0,3
0.19,1.41,12.59,100.0,0.0,14.1,0.0,25.0,3
0.20,1.27,12.94,100.0,0.0,14.1,0.0,25.0,3
0.20,1.32,13.28,100.0,0.0,14.3,0.0,25.0,3
0.21,1.37,13.62,100.0,0.0,14.4,0.0,25.0,3
0.21,1.41,13.97,100.0,0.0,14.5,0.0,25.0,3
0.22,1.45,14.31,100.0,0.0,14.6,0.0,25.0,3
0.22,1.49,14.65,100.0,0.0,14.7,0.0,25.0,3
0.23,1.57,14.90,100.0,0.0,14.7,0.0,25.0,3
0.23,1.60,15.24,100.0,0.0,14.8,0.0,25.0,3
0.24,1.59,15.68,100.0,0.0,14.8,0.0,25.0,3
0.24,1.61,16.03,100.0,0.0,14.9,0.0,25.0,3
0.25,1.64,16.37,100.0,0.0,14.9,0.0,25.0,3
0.25,1.66,16.71,100.0,0.0,14.9,0.0,25.0,3
