时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告
0.26,1.71,16.61,100.0,0.0,14.9,0.0,25.0,3
0.26,1.73,16.96,100.0,0.0,15.0,0.0,25.0,3
0.27,1.74,17.30,100.0,0.0,15.0,0.0,25.0,3
0.27,1.75,17.64,100.0,0.0,15.0,0.0,25.0,3
0.28,1.76,17.99,100.0,0.0,15.0,0.0,25.0,3
0.28,1.77,18.33,100.0,0.0,15.0,0.0,25.0,3
0.29,1.97,18.67,100.0,0.0,15.1,0.0,25.0,3
0.29,1.96,19.02,100.0,0.0,15.1,0.0,25.0,3
0.30,1.96,19.36,100.0,0.0,15.1,0.0,25.0,3
0.30,2.26,19.70,100.0,0.0,11.6,0.0,25.0,3
0.31,2.55,20.05,100.0,0.0,11.9,0.0,25.0,3
0.31,2.46,20.29,100.0,0.0,13.5,0.0,25.0,3
0.32,2.18,20.63,100.0,0.0,14.0,0.0,25.0,3
0.32,1.93,18.39,100.0,8.2,-3.2,-5.4,25.0,4
0.33,1.72,18.61,100.0,3.1,-4.2,-5.1,25.0,4
0.33,1.53,18.84,100.0,-3.2,-1.6,-4.5,25.0,4
0.34,1.37,19.04,100.0,-8.9,2.3,-4.2,25.0,4
0.34,1.21,19.21,100.0,-12.1,2.7,-4.5,25.0,4
0.35,1.03,19.35,100.0,-12.8,10.5,-5.3,25.0,4
0.35,0.84,19.48,100.0,-10.1,18.7,-5.8,25.0,4
0.36,0.64,19.62,100.0,-4.5,23.0,-5.5,25.0,4
0.36,0.43,19.77,100.0,2.6,23.5,-4.7,25.0,4
0.37,0.23,19.93,100.0,9.1,17.4,-4.2,25.0,4
0.37,0.28,10.31,100.0,12.2,3.6,-5.8,25.0,4
0.38,0.29,10.44,100.0,8.1,-1.5,-6.1,25.0,4
0.38,0.32,10.60,100.0,1.6,-10.7,-5.5,25.0,4
0.39,0.36,10.78,100.0,-6.7,-9.2,-4.6,25.0,4
0.39,0.33,10.94,100.0,-13.1,-3.8,-4.6,25.0,4
0.40,0.31,11.03,100.0,-15.5,5.5,-5.6,25.0,4
0.40,0.31,11.05,100.0,-12.8,13.4,-6.5,25.0,4
0.41,0.29,10.99,100.0,-5.9,21.2,-6.3,25.0,4
0.41,0.26,10.93,100.0,3.9,19.9,-4.9,25.0,5
0.42,0.24,10.89,100.0,12.2,16.1,-4.3,25.0,5
0.42,0.30,3.73,100.0,6.3,2.5,-8.4,25.0,5
0.43,0.34,3.74,100.0,2.2,-2.5,-8.4,25.0,5
0.43,0.36,3.77,100.0,-5.2,1.4,-7.9,25.0,5
0.44,0.37,3.83,100.0,-9.6,7.1,-8.1,25.0,5
0.44,0.38,3.82,100.0,-9.3,15.5,-8.9,25.0,5
0.45,0.38,3.69,100.0,-3.9,20.1,-8.8,25.0,5
0.45,0.38,3.52,100.0,3.5,19.5,-8.2,25.0,5
0.46,0.38,3.37,100.0,8.6,13.9,-8.2,25.0,5
0.46,0.37,3.29,100.0,8.8,-2.8,-8.7,25.0,5
0.47,0.42,3.36,100.0,1.8,-6.1,-8.4,25.0,5
0.47,0.47,3.58,100.0,-8.6,-3.0,-7.5,25.0,5
0.48,0.53,3.67,100.0,-7.4,19.1,-9.2,25.0,5
0.48,0.56,3.29,100.0,12.9,12.3,-7.5,25.0,5
0.49,0.58,3.18,100.0,14.6,-1.2,-9.0,25.0,5
0.49,0.62,3.25,100.0,5.1,-13.5,-9.0,25.0,5
0.50,0.68,3.54,100.0,-12.4,-10.1,-6.7,25.0,5
0.50,0.76,3.63,99.9,-19.2,10.0,-9.6,25.0,6
0.51,0.81,3.26,99.9,-7.6,25.0,-9.8,25.0,6
0.51,0.86,2.80,99.9,12.0,23.6,-6.4,25.0,6
0.52,0.91,2.48,99.9,23.3,4.7,-7.9,25.0,6
0.52,0.99,2.49,99.9,17.7,-13.4,-11.0,25.0,6
0.53,1.04,2.88,99.9,-2.8,-23.0,-7.5,25.0,6
0.53,1.10,3.37,99.9,-24.1,-9.7,-5.1,25.0,6
0.54,1.16,3.47,99.9,-29.5,12.2,-10.7,25.0,6
0.54,1.21,3.29,99.9,-15.2,35.5,-12.7,25.0,6
0.55,1.25,3.56,99.9,16.1,31.9,-4.2,25.0,6
0.55,1.36,4.44,99.9,33.2,17.1,-6.7,25.0,6
0.56,1.52,5.68,99.9,27.0,-9.3,-13.8,25.0,6
0.56,1.69,7.29,99.9,-1.5,-24.7,-7.3,25.0,6
0.57,1.89,13.30,99.9,-22.7,0.8,-3.0,25.0,6
0.57,2.09,13.77,99.9,-27.9,12.8,-6.2,25.0,6
0.58,2.11,3.53,99.9,2.2,8.2,3.8,25.0,6
0.58,2.11,3.35,99.9,3.2,11.9,3.8,25.0,6
0.59,2.10,3.20,99.9,3.7,13.7,3.9,25.0,6
0.59,2.08,3.06,99.9,3.8,14.7,3.9,25.0,6
0.60,2.06,2.94,99.9,3.0,10.3,3.9,25.0,6
0.60,2.05,3.57,99.9,5.3,13.2,-1.1,25.0,6
0.61,2.05,3.43,99.9,5.8,15.9,-1.2,25.0,6
0.61,2.06,4.26,99.9,4.3,15.9,-1.6,25.0,6
0.62,2.06,4.08,99.9,4.6,15.5,-1.6,25.0,6
0.62,2.07,3.90,99.9,4.8,15.2,-1.6,25.0,6
0.63,2.07,3.75,99.9,4.8,13.2,-1.7,25.0,6
0.63,2.06,3.64,99.9,4.7,11.4,-1.7,25.0,7
0.64,2.06,3.55,99.9,4.4,4.4,-1.7,25.0,7
0.64,2.06,3.50,99.9,3.9,5.1,-1.7,25.0,7
0.65,2.06,3.48,99.9,3.1,7.2,-1.7,25.0,7
0.65,2.05,3.49,99.9,2.4,5.7,-1.7,25.0,7
0.66,2.04,3.87,99.9,0.9,3.0,-1.8,25.0,7
0.66,2.02,3.95,99.9,-0.0,5.2,-1.8,25.0,7
0.67,2.01,4.06,99.9,-1.0,7.0,-1.7,25.0,7
0.67,1.99,4.20,99.9,-1.7,3.5,-1.7,25.0,7
0.68,1.97,4.35,99.9,-2.5,2.5,-1.7,25.0,7
0.68,1.95,4.51,99.9,-3.2,4.9,-1.7,25.0,7
0.69,1.92,4.69,99.9,-4.0,9.1,-1.7,25.0,7
0.69,1.91,3.28,99.9,-2.5,11.2,-0.7,25.0,7
0.70,1.90,3.55,99.9,-2.6,11.5,-0.7,25.0,7
0.70,1.90,3.84,99.9,-2.7,8.8,-0.7,25.0,7
0.71,1.88,4.13,99.9,-2.9,9.3,-0.7,25.0,7
0.71,1.86,4.43,99.9,-3.0,11.4,-0.7,25.0,7
0.72,1.84,4.73,99.9,-3.1,13.4,-0.7,25.0,7
0.72,1.84,4.87,99.9,-4.0,16.6,-0.6,25.0,7
0.73,1.85,5.12,99.9,-3.9,17.0,-0.6,25.0,7
0.73,1.87,5.37,99.9,-3.7,8.8,-0.6,25.0,7
0.74,1.87,5.63,99.9,-3.6,12.7,-0.6,25.0,7
0.74,1.86,5.90,99.9,-3.5,15.3,-0.6,25.0,7
0.75,1.87,6.17,99.9,-3.3,16.0,-0.6,25.0,7
0.75,1.85,6.49,99.9,-3.2,17.3,-0.6,25.0,7
0.76,1.83,6.77,99.9,-3.0,17.4,-0.6,25.0,7
0.76,1.85,2.56,99.9,-1.3,18.6,1.1,25.0,7
0.77,1.90,4.42,99.9,5.8,7.2,-1.3,25.0,8
0.77,1.93,4.45,99.9,5.7,6.1,-1.5,25.0,8
0.78,1.95,4.42,99.9,5.6,8.2,-1.6,25.0,8
0.78,1.96,4.41,99.9,5.2,9.7,-1.6,25.0,8
0.79,1.96,4.43,99.9,4.8,9.5,-1.6,25.0,8
0.79,1.97,4.48,99.9,4.2,9.6,-1.6,25.0,8
0.80,2.02,11.93,99.9,7.0,14.1,0.1,25.0,8
0.80,2.02,2.79,99.9,8.4,5.8,0.1,25.0,8
0.81,2.00,2.86,99.9,8.5,7.3,0.1,25.0,8
0.81,1.98,2.94,99.9,8.5,7.9,0.2,25.0,8
0.82,1.97,3.04,99.9,8.5,8.5,0.2,25.0,8
0.82,1.96,3.15,99.9,8.5,6.5,0.2,25.0,8
0.83,1.93,7.23,99.9,8.8,-1.4,10.1,25.0,8
0.83,1.92,5.96,99.9,5.5,3.8,7.9,25.0,8
0.84,1.90,5.91,99.9,12.6,10.2,8.1,25.0,8
0.84,1.90,5.99,99.9,13.0,19.2,9.3,25.0,8
0.85,1.90,6.23,99.9,5.6,25.6,9.4,25.0,8
0.85,1.89,6.47,99.9,-6.4,17.6,7.8,25.0,8
0.86,1.91,5.54,99.9,-1.5,12.0,4.9,25.0,8
0.86,1.95,4.98,99.9,-1.4,15.1,4.1,25.0,8
0.87,1.99,4.85,99.9,-2.2,14.6,4.1,25.0,8
0.87,2.02,4.73,99.9,-2.5,14.3,4.2,25.0,8
0.88,2.04,4.64,99.9,-2.3,13.0,4.2,25.0,8
0.88,2.04,4.55,99.9,-1.6,11.1,4.2,25.0,8
0.89,2.04,4.47,99.9,-0.6,6.6,4.1,25.0,9
0.89,2.04,4.40,99.9,0.6,3.0,4.0,25.0,9
0.90,2.04,4.36,99.9,2.2,5.0,4.0,25.0,9
0.90,2.04,4.33,99.9,3.8,9.1,4.0,25.0,9
0.91,2.03,4.33,99.9,4.4,8.1,4.1,25.0,9
0.91,2.02,2.99,99.9,5.1,10.4,3.5,25.0,9
0.92,2.04,3.03,99.9,3.1,11.4,3.0,25.0,9
0.92,2.05,2.86,99.9,2.5,14.4,3.1,25.0,9
0.93,2.05,2.73,99.9,1.4,13.6,3.0,25.0,9
0.93,2.05,2.64,99.9,0.3,12.4,3.0,25.0,9
0.94,2.05,2.59,99.9,-0.8,11.4,2.9,25.0,9
0.94,2.05,2.58,99.9,-1.5,14.8,3.0,25.0,9
0.95,2.04,4.34,99.9,-2.5,16.2,1.4,25.0,9
0.95,2.02,4.37,99.9,-2.8,16.7,0.6,25.0,9
0.96,1.99,4.47,99.9,-2.9,16.8,0.6,25.0,9
0.96,1.97,4.61,99.9,-3.0,13.3,0.6,25.0,9
0.97,1.95,4.75,99.9,-3.1,15.1,0.6,25.0,9
0.97,1.94,4.90,99.9,-3.2,16.6,0.6,25.0,9
0.98,1.93,6.37,99.9,-1.4,16.0,2.7,25.0,9
0.98,1.92,6.51,99.9,-1.6,15.6,2.7,25.0,9
0.99,1.92,6.58,99.9,-1.8,12.0,2.7,25.0,9
0.99,1.92,6.74,99.9,-2.0,8.2,2.6,25.0,9
1.00,1.91,6.91,99.9,-1.7,11.1,2.7,25.0,9
1.00,1.90,7.09,99.9,-1.3,11.9,2.7,25.0,9
1.01,1.90,7.27,99.9,-0.9,11.6,2.7,25.0,9
1.01,1.88,7.47,99.9,-0.3,12.1,2.7,25.0,9
1.02,1.86,7.65,99.9,0.3,12.0,2.7,25.0,9
1.02,1.85,7.86,99.9,0.9,11.4,2.6,25.0,9
1.03,1.88,5.49,99.9,3.1,4.7,1.8,25.0,10
1.03,1.88,5.61,99.9,2.9,5.3,1.8,25.0,10
1.03,1.87,5.76,99.9,2.8,10.5,1.9,25.0,10
1.04,1.85,5.94,99.9,2.5,13.4,1.9,25.0,10
1.04,1.83,6.10,99.9,2.2,14.1,1.9,25.0,10
1.05,1.82,6.33,99.9,1.6,15.6,1.9,25.0,10
1.05,1.82,4.88,99.9,-2.4,11.5,-1.7,25.0,10
1.06,1.82,4.75,99.9,-1.1,8.4,-2.4,25.0,10
1.06,1.80,4.98,99.9,-1.8,10.4,-2.4,25.0,10
1.07,1.80,5.21,99.9,-2.4,11.5,-2.4,25.0,10
1.07,1.81,5.46,99.9,-2.8,12.6,-2.4,25.0,10
1.08,1.84,5.68,99.9,-3.1,13.9,-2.4,25.0,10
1.08,1.86,2.96,99.9,1.2,12.6,-1.3,25.0,10
1.09,1.77,13.79,99.9,-4.2,11.7,-3.2,25.0,10
1.09,1.70,14.05,99.9,-4.8,13.9,-3.2,25.0,10
1.10,1.64,14.31,99.9,-4.8,14.7,-3.3,25.0,10
1.10,1.60,14.58,99.9,-4.3,15.1,-3.3,25.0,10
1.11,1.55,13.31,99.9,0.9,6.2,-3.9,25.0,10
1.11,1.52,6.56,99.9,1.0,9.5,-5.0,25.0,10
1.12,1.67,6.69,99.9,-4.6,16.8,-1.3,25.0,10
1.12,1.82,6.54,99.9,-4.1,17.8,-1.3,25.0,10
1.13,1.91,6.40,99.9,-3.5,19.5,-1.3,25.0,10
1.13,1.97,6.26,99.9,-2.9,19.7,-1.3,25.0,10
1.14,2.01,6.14,99.9,-2.2,19.0,-1.3,25.0,10
1.14,2.03,6.04,99.9,-1.3,10.6,-1.2,25.0,10
1.15,2.04,5.95,99.9,-0.7,14.4,-1.1,25.0,10
1.15,2.05,5.87,99.9,-0.0,14.8,-1.1,25.0,10
1.16,2.05,5.81,99.9,0.6,17.3,-1.1,25.0,10
1.16,2.05,5.77,99.9,1.4,14.2,-1.0,25.0,10
1.17,2.05,5.75,99.9,2.1,15.2,-1.0,25.0,10
1.17,2.04,5.74,99.9,2.7,16.8,-1.0,25.0,10
1.18,2.02,5.75,99.9,3.3,13.2,-1.0,25.0,10
1.18,2.01,5.79,99.9,4.0,14.3,-1.0,25.0,10
1.19,1.99,5.83,99.9,4.5,14.1,-1.0,25.0,10
1.19,1.98,5.89,99.9,4.9,16.1,-1.0,25.0,10
1.20,1.97,5.70,99.9,2.5,12.4,-1.0,25.0,10
1.20,1.96,5.79,99.9,2.3,12.2,-1.0,25.0,10
1.21,1.95,5.89,99.9,2.3,8.1,-1.0,25.0,10
1.21,1.94,6.02,99.9,2.1,9.7,-1.0,25.0,10
1.22,1.92,6.16,99.9,1.9,11.5,-1.0,25.0,10
1.22,1.90,6.32,99.9,1.7,12.4,-1.0,25.0,10
1.23,1.91,3.54,99.9,1.6,14.5,-0.8,25.0,10
1.23,1.92,3.74,99.9,1.6,14.5,-0.8,25.0,10
1.24,1.93,3.95,99.9,1.7,7.1,-0.8,25.0,10
1.24,1.92,4.18,99.9,1.5,10.9,-0.8,25.0,10
1.25,1.92,4.42,99.9,1.5,12.4,-0.8,25.0,10
1.25,1.91,4.68,99.9,1.4,12.4,-0.8,25.0,10
1.26,1.90,4.95,99.9,1.3,13.1,-0.8,25.0,10
1.26,1.88,5.23,99.9,1.2,13.2,-0.8,25.0,10
1.27,1.87,5.51,99.9,1.1,12.5,-0.8,25.0,10
1.27,1.91,3.41,99.9,2.6,6.9,-0.3,25.0,10
1.28,1.93,3.72,99.9,5.4,5.0,-1.3,25.0,10
1.28,1.93,3.78,99.9,5.2,7.4,-1.4,25.0,10
1.29,1.93,3.86,99.9,4.8,9.2,-1.4,25.0,10
1.29,1.92,3.97,99.9,4.3,9.1,-1.4,25.0,10
1.30,1.93,4.10,99.9,3.8,9.3,-1.4,25.0,10
1.30,1.94,3.05,99.9,-0.1,6.9,-2.6,25.0,10
1.31,1.95,0.85,99.9,-0.7,10.1,-1.0,25.0,10
1.31,1.95,1.03,99.9,-0.9,11.8,-1.0,25.0,10
1.32,1.95,1.28,99.9,-1.0,12.5,-1.0,25.0,10
1.32,1.95,1.56,99.9,-1.1,13.2,-1.0,25.0,10
1.33,1.95,1.87,99.9,-1.2,11.1,-1.0,25.0,10
1.33,1.96,3.23,99.9,-1.8,8.5,0.7,25.0,10
1.34,1.92,4.00,99.9,2.2,5.7,2.4,25.0,10
1.34,1.89,4.26,99.9,4.2,6.9,2.3,25.0,10
1.35,1.87,4.52,99.9,6.0,7.3,2.2,25.0,10
1.35,1.86,4.78,99.9,7.5,8.3,2.3,25.0,10
1.36,1.83,9.18,99.9,4.4,8.2,-0.2,25.0,10
1.36,1.79,9.40,99.9,4.4,11.4,-0.2,25.0,10
1.37,1.84,2.53,99.9,2.0,12.2,0.1,25.0,10
1.37,1.88,2.70,99.9,2.0,12.7,0.1,25.0,10
1.38,1.90,2.91,99.9,2.0,13.9,0.1,25.0,10
1.38,1.90,3.14,99.9,2.0,13.8,0.2,25.0,10
1.39,1.90,3.39,99.9,2.1,12.8,0.2,25.0,10
1.39,1.89,3.65,99.9,2.0,5.8,0.1,25.0,10
1.40,1.87,3.92,99.9,2.0,7.1,0.2,25.0,10
1.40,1.84,4.21,99.9,2.0,5.5,0.2,25.0,10
1.41,1.81,4.50,99.9,2.1,9.7,0.2,25.0,10
1.41,1.78,4.80,99.9,2.1,7.2,0.2,25.0,10
1.42,1.83,8.27,99.9,6.1,13.4,-4.0,25.0,10
1.42,1.92,10.29,99.9,3.4,11.4,-2.0,25.0,10
1.43,2.00,10.08,99.9,3.5,10.8,-2.1,25.0,10
1.43,2.07,9.89,99.9,3.5,7.3,-2.1,25.0,10
1.44,2.12,9.73,99.9,3.2,8.6,-2.1,25.0,10
1.44,2.17,9.54,99.9,2.8,9.8,-2.1,25.0,10
1.45,2.20,9.37,99.9,2.2,11.0,-2.1,25.0,10
1.45,2.21,9.28,99.9,0.9,11.0,-0.5,25.0,10
1.46,2.20,9.10,99.9,0.8,11.2,-0.5,25.0,10
1.46,2.17,8.92,99.9,0.6,7.5,-0.4,25.0,10
1.47,2.17,8.75,99.9,0.4,8.7,-0.4,25.0,10
1.47,2.17,8.59,99.9,0.2,10.2,-0.4,25.0,10
1.48,2.17,8.44,99.9,0.0,10.9,-0.4,25.0,10
1.48,2.16,4.62,99.9,3.0,14.7,-0.8,25.0,10
1.49,2.13,4.41,99.9,2.9,14.6,-0.8,25.0,10
1.49,2.10,4.22,99.9,3.0,6.6,-0.8,25.0,10
1.50,2.08,4.05,99.8,2.9,10.7,-0.8,25.0,10
1.50,2.07,3.90,99.8,2.7,12.1,-0.8,25.0,10
1.51,2.05,3.77,99.8,2.6,12.1,-0.8,25.0,10
1.51,2.05,3.67,99.8,2.5,12.8,-0.8,25.0,10
1.52,2.04,3.59,99.8,2.4,12.3,-0.8,25.0,10
1.52,2.04,3.41,99.8,2.3,12.9,-0.5,25.0,10
1.53,2.03,3.31,99.8,2.3,2.4,-0.5,25.0,10
1.53,2.03,3.25,99.8,2.2,7.3,-0.5,25.0,10
1.54,2.03,3.22,99.8,2.1,10.2,-0.5,25.0,10
1.54,2.03,3.23,99.8,2.1,10.4,-0.5,25.0,10
1.55,2.02,3.27,99.8,2.0,11.5,-0.5,25.0,10
1.55,2.00,3.74,99.8,1.3,9.4,-1.1,25.0,10
1.56,1.98,5.87,99.8,9.1,1.7,2.4,25.0,10
1.56,1.93,6.10,99.8,11.0,9.2,4.6,25.0,10
1.57,1.88,6.29,99.8,11.6,15.4,5.3,25.0,10
1.57,1.85,6.50,99.8,9.5,21.0,5.7,25.0,10
1.58,1.84,6.72,99.8,4.9,25.0,5.6,25.0,10
1.58,1.83,6.62,99.8,-0.2,22.8,5.2,25.0,10
1.59,1.88,4.72,99.8,2.6,14.6,5.3,25.0,10
1.59,1.91,4.73,99.8,2.0,16.3,5.3,25.0,10
1.60,1.93,4.77,99.8,1.0,16.2,5.3,25.0,10
1.60,1.95,4.83,99.8,0.0,15.4,5.3,25.0,10
1.61,1.96,4.90,99.8,-1.1,9.2,5.1,25.0,10
1.61,1.97,3.30,99.8,-2.8,5.4,3.5,25.0,10
1.62,1.98,2.59,99.8,-0.9,9.0,3.9,25.0,10
1.62,2.00,2.69,99.8,0.0,10.4,3.9,25.0,10
1.63,2.00,2.62,99.8,1.2,10.9,3.9,25.0,10
1.63,2.00,2.59,99.8,2.3,12.0,3.9,25.0,10
1.64,2.00,2.61,99.8,3.2,12.1,3.9,25.0,10
1.64,1.99,2.68,99.8,3.7,12.2,3.9,25.0,10
1.65,1.98,2.80,99.8,3.2,2.7,3.9,25.0,10
1.65,1.97,2.95,99.8,3.4,10.1,3.9,25.0,10
1.66,1.95,3.15,99.8,2.7,10.4,3.9,25.0,10
1.66,1.93,3.36,99.8,1.9,13.9,4.0,25.0,10
1.67,1.91,3.60,99.8,0.4,10.6,3.9,25.0,10
1.67,1.90,2.02,99.8,1.8,12.5,2.8,25.0,10
1.68,1.89,2.34,99.8,0.7,12.8,2.8,25.0,10
1.68,1.88,2.64,99.8,-0.4,12.3,2.7,25.0,10
1.69,1.87,2.94,99.8,-1.4,11.0,2.7,25.0,10
1.69,1.84,3.25,99.8,-2.3,10.1,2.7,25.0,10
1.70,1.81,3.61,99.8,-3.0,12.0,2.7,25.0,10
1.70,1.80,3.93,99.8,-3.3,13.6,2.7,25.0,10
1.71,1.83,1.07,99.8,-0.6,12.3,0.0,25.0,10
1.71,1.86,1.26,99.8,-0.6,12.4,0.0,25.0,10
1.72,1.89,1.51,99.8,-0.6,8.9,0.0,25.0,10
1.72,1.90,1.78,99.8,-0.6,11.1,0.0,25.0,10
1.73,1.90,2.08,99.8,-0.6,13.0,0.0,25.0,10
1.73,1.90,2.39,99.8,-0.6,14.0,0.0,25.0,10
1.74,1.98,4.85,99.8,1.5,13.5,-0.3,25.0,10
1.74,2.04,4.54,99.8,1.5,13.6,-0.3,25.0,10
1.75,2.07,4.24,99.8,1.5,6.2,-0.3,25.0,10
1.75,2.09,3.95,99.8,1.4,10.2,-0.3,25.0,10
1.76,2.09,3.66,99.8,1.3,11.8,-0.3,25.0,10
1.76,2.08,3.39,99.8,1.3,12.3,-0.3,25.0,10
1.77,2.08,3.12,99.8,1.2,12.9,-0.3,25.0,10
1.77,2.08,2.87,99.8,1.2,12.8,-0.3,25.0,10
1.78,2.07,2.71,99.8,0.8,12.5,-0.2,25.0,10
1.78,2.07,1.92,99.8,0.6,2.9,-4.6,25.0,10
1.79,2.07,1.73,99.8,-0.3,6.3,-4.6,25.0,10
1.79,2.07,1.58,99.8,-1.2,9.2,-4.6,25.0,10
1.80,2.06,1.50,99.8,-1.9,10.5,-4.6,25.0,10
1.80,2.05,1.48,99.8,-2.4,12.0,-4.7,25.0,10
1.81,2.03,1.54,99.8,-2.6,13.7,-4.7,25.0,10
1.81,2.01,4.61,99.8,-1.2,10.4,-0.9,25.0,10
1.82,2.02,2.48,99.8,1.5,12.6,2.0,25.0,10
1.82,2.03,2.29,99.8,2.2,13.0,0.5,25.0,10
1.83,2.03,2.13,99.8,2.2,13.8,0.5,25.0,10
1.83,2.03,2.03,99.8,2.1,14.4,0.5,25.0,10
1.84,2.02,1.97,99.8,2.1,13.6,0.5,25.0,10
1.84,2.02,5.76,99.8,6.0,14.7,-4.1,25.0,10
1.85,2.05,6.23,99.8,5.2,13.8,-3.5,25.0,10
1.85,2.06,6.14,99.8,4.6,12.0,-3.6,25.0,10
1.86,2.07,6.08,99.8,3.5,10.3,-3.6,25.0,10
1.86,2.06,6.02,99.8,2.2,3.0,-3.5,25.0,10
1.87,2.05,5.42,99.8,-0.7,3.4,-3.2,25.0,10
1.87,2.05,4.05,99.8,-2.4,10.2,-1.9,25.0,10
1.88,2.05,3.89,99.8,-2.7,11.5,-1.9,25.0,10
1.88,2.05,3.72,99.8,-3.0,12.7,-2.0,25.0,10
1.89,2.05,3.59,99.8,-3.2,13.7,-2.0,25.0,10
1.89,2.05,3.48,99.8,-3.3,13.6,-2.0,25.0,10
1.90,2.04,3.41,99.8,-3.3,13.3,-2.0,25.0,10
1.90,2.04,3.36,99.8,-3.0,5.0,-2.0,25.0,10
1.91,2.03,3.35,99.8,-2.9,8.4,-2.0,25.0,10
1.91,2.02,3.38,99.8,-2.8,12.5,-2.0,25.0,10
1.92,2.01,3.44,99.8,-2.4,10.6,-2.0,25.0,10
1.92,2.00,3.52,99.8,-2.3,10.9,-1.9,25.0,10
1.93,2.03,2.95,99.8,0.7,8.2,-0.9,25.0,10
1.93,2.05,2.65,99.8,0.7,10.9,-0.9,25.0,10
1.94,2.06,2.36,99.8,0.6,11.9,-0.9,25.0,10
1.94,2.07,2.09,99.8,0.7,8.2,-0.9,25.0,10
1.95,2.08,1.88,99.8,0.6,10.4,-0.9,25.0,10
